ID,Cemetery,Year,TS,PPA,Tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Fabric,Fabric variant,Slip and painted decoration,Burnishing and polishing,Shaping process: primary,Shaping process: rim,Shaping process: base,Shaping process: comments,Description,Drawing number,Part,Notes,General shape,Pottery type
TAG6403_EGPOT_18,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_19,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6403_EGPOT_20,WT1,2022,,,6403,Q4A,,,L1,area between FT26/stela (east) and TB17 (west) ca 8m (E-W) x 4 m (N-S)?? (PSF039),,,,Nile B2,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6411_EGPOT_01,WT1,2022,,,6411,Q4A,,,L1,residual part of Q4A (see Q4A excavated on 22th oct): a strip in the Northern sector of Q4A from TB17 to TB7 and the limit of Q4A/Q4B (?),,,,Marl A3,,uncoated,,"handmade, ridges of coils visible",,"handmade by coiling, scraped outside with tool",,"body sherd near the base from a medium size jar in Marl A3, coil made, scraping marks outside",,X,"same vessel as tags 6062, 6577",Closed vessel,30b3
TAG6417_EGPOT_01,WT1,2022,,,6417,Q3A,,,L1,between FT17 and TB5=FT38,,,between FT17 and FT38=TB5,Nile B1,,thin red rim on uncoated,,wheel made,wheel made,,,"rim sherd form a cup, direct, wheel made",604,R,"joins sherd in Tag 6082. ""between F17 and T5"" is written on the label but not in the TAG list",Open vessel,3a1.4
TAG6419_EGPOT_01,WT1,2022,,33,6419,Q4B,,,L1,,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,handmade by coiling and finished on wheel,"base sherd, round, joining a shoulder sherd from the same tag to form almost the complete profile of jar #610,",610,B,joins rim Tag 6429,Closed vessel,18b2
TAG6419_EGPOT_02,WT1,2022,,33,6419,Q4B,,,L1,,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,rim sherd,610,R,joins rim Tag 6429,Closed vessel,18b2
TAG6421_EGPOT_01,WT1,2022,,35,6421,Q4B,,,L1,,,,,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,entries 243-247 belong to the same vessel but do not join,Closed vessel,18b1
TAG6429_EGPOT_01,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C1,,uncoated,,"handmade by coiling, interior smoothed irregularly with fingers",,,,body sherd near the base from a medium size jar. Fingers smoothing inside,Pot 2,X,,Closed vessel,18b1
TAG6429_EGPOT_02,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"rim sherd from a small jar with direct and modelled rim, ellipsoid body and round base. The vessel was made by coiling and finished on the wheel (Jade personal comm.). The base has traces of scaping on the outside.",610,R,The rim joins 3 sherds with the same tag to form a larger sherd that comprises the upper part of the vessels and joins base sherd Tag 6419 to complete the profile. It also joins rim sherd Tag 6419,Closed vessel,18b2
TAG6429_EGPOT_03,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #610,610,X,joins body sherd Tag 6591,Closed vessel,18b2
TAG6429_EGPOT_04,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"very small, non joining rim sherd from jar #610",610,R,,Closed vessel,18b2
TAG6429_EGPOT_05,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,non joining body sherd from jar #610,610,X,,Closed vessel,18b2
TAG6429_EGPOT_06,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining the main reconstructed vessel,611,X,joins sherd Tag 6447,Closed vessel,18b2
TAG6429_EGPOT_07,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_08,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_09,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_10,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_11,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_12,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6429_EGPOT_13,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Nile B2,,uncoated,,wheel made,,,,"body sherd, wheel made",,X,,Undetermined,Undetermined
TAG6429_EGPOT_14,WT1,2022,,,6429,Q4B,,,L1,area around OPdelta-FT23 (S of the stone ring of TB8) and (from W to E) TB15-TB14-TB13 but excluding eastern sector of Q4B,,,,Nile B2,,uncoated,,wheel made,,,,"body sherd, wheel made",,X,,Undetermined,Undetermined
TAG6437_EGPOT_01,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,eroded,,Wheel made,Wheel made,,,"rim sherd and handle of a dipper juglet. The shoulder is wheel made while the handle attaches at the rim and loops smoothly to attach at the shoulder. The point of contact at the rim is fairly slender and measures 1.5 cm across, while the one at the shoulder is more solid and measures 2.2 cm. The handle has a round section and it measures 1.1 cm consistently throughout.",608,R,joins rim sherd Tag 6458 and shoulder sherd Tag 6437 (entry 173). L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6437_EGPOT_02,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"shoulder sherd of a dipper juglet, wheel made",608,X,"joins rim sherds Tag 6437 and Tag 6458, shoulder sherd Tag 6437 (entry 174) and body sherd Tag 6437 (entry 175). L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39",Closed vessel,Dipper juglet
TAG6437_EGPOT_03,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"shoulder sherd of a dipper juglet, wheel made",608,X,Joins shoulder sherd Tag 6437 (entry 173). L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6437_EGPOT_04,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,joins shoulder sherd Tag 6437 (entry 174). L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6437_EGPOT_05,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"body sherd, near the base, of a dipper juglet, wheel made",608,X,joins body sherd Tag 6437 (entry 175). L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6437_EGPOT_06,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,joins Tag 6458 to form a large body sherd which does not join the main body of the juglet. L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6437_EGPOT_07,WT1,2022,,39,6437,Q4B,,,L112,,,,,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,L112/PPA39 --> labelled as L1/Est end of the cemetery/PPA39,Closed vessel,Dipper juglet
TAG6447_EGPOT_01,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade, joining entry 263",,X,,Closed vessel,Predynastic?
TAG6447_EGPOT_02,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl A3,,uncoated,,wheel made,,,,"body sherd, wheel made",,X,,Closed vessel,30b4
TAG6447_EGPOT_03,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl C2,,uncoated,,,,,,body sherd,607,X,same vessel as dr. no. 607,Closed vessel,18b2
TAG6447_EGPOT_04,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"very small, non joining rim sherd from jar #610",610,R,,Closed vessel,18b2
TAG6447_EGPOT_05,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"rim sherd from a small jar with direct and modelled rim, ellipsoid body and round base. The vessel is poorly preserved. It was made by coiling and finished on the wheel",611,R,joins body sherds tag 6533,Closed vessel,18b2
TAG6447_EGPOT_06,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining the main reconstructed vessel,611,X,joins body sherds Tag 6429 and Tag 6588,Closed vessel,18b2
TAG6447_EGPOT_07,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Nile,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6447_EGPOT_08,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Nile,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6447_EGPOT_09,WT1,2022,,,6447,Q4B,,,L112,E Trench,,,,Nile B2,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6458_EGPOT_01,WT1,2022,,,6458,Q4B,,,L112,E Trench,,,est end=Trench E,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Predynastic
TAG6458_EGPOT_02,WT1,2022,,,6458,Q4B,,,L112,E Trench,,,est end=Trench E,P,,eroded,,Wheel made,Wheel made,,,"rim sherd of a dipper juglet, wheel made",608,R,joins rim sherd Tag 6437 and shoulder sherd Tag 6437 (entry 173). L112 --> labelled as L1,Closed vessel,Dipper juglet
TAG6458_EGPOT_03,WT1,2022,,,6458,Q4B,,,L112,E Trench,,,est end=Trench E,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made, post firing potmark",608,X,joins Tag 6437 (entry 177) to form a large body sherd which does not join the main body of the juglet. L112 --> labelled as L1,Closed vessel,Dipper juglet
TAG6458_EGPOT_04,WT1,2022,,,6458,Q4B,,,L112,E Trench,,,est end=Trench E,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,L112 --> labelled as L1,Closed vessel,Dipper juglet
TAG6458_EGPOT_05,WT1,2022,,,6458,Q4B,,,L112,E Trench,,,est end=Trench E,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,joins body sherd Tag 6512 and TS16 in Kom Ombo. L112 --> labelled as L1,Closed vessel,Dipper juglet
TAG6466_EGPOT_01,WT1,2022,,,6466,Q4B,,,L114,,,,TB11,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6466_EGPOT_02,WT1,2022,,,6466,Q4B,,,L114,,,,TB11,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6466_EGPOT_03,WT1,2022,,,6466,Q4B,,,L114,,,,TB11,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6466_EGPOT_04,WT1,2022,,,6466,Q4B,,,L114,,,,TB11,Nile B2,,traces of red slip outside,,Wheel made,,,,"shoulder and neck sherd from a jar, wheel made",,NS,diam. at neck 8 cm,Closed vessel,Undetermined
TAG6471_EGPOT_01,WT1,2022,,,6471,Q4B,,,L115,,"FT23, FT24, FT25",,,Nile,coarse,,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6477_EGPOT_01,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6477_EGPOT_02,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6477_EGPOT_03,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6477_EGPOT_04,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6477_EGPOT_05,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,joins body sherd Tag 6379,Closed vessel,18b2
TAG6477_EGPOT_06,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Nile B1,A1,,,handmade,,,,"body sherd, handmade",,X,,Open vessel,Undetermined
TAG6477_EGPOT_07,WT1,2022,,,6477,Q3B,,,L102,,FT22,,TB10,Nile B2,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6487_EGPOT_01,WT1,2022,,,6487,Q4B,,,L116,,,,TB11,Nile B2,sandy,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6500_EGPOT_01,WT1,2022,,,6500,Q4B,,,L1,,,,SE of TB11,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"shoulder sherd from a medium size jar reconstructed from 6 joining sherds. Max diam. at shoulder is 16 cm. Fingers mark on interior, coil made",pot 1,X,joins body sherd in Tag 6591,Closed vessel,18b1
TAG6500_EGPOT_02,WT1,2022,,,6500,Q4B,,,L1,,,,SE of TB11,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"sherd from a meaium size jar, fingers mark on interior",pot 1,X,,Closed vessel,18b1
TAG6500_EGPOT_03,WT1,2022,,,6500,Q4B,,,L1,,,,SE of TB11,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6500_EGPOT_04,WT1,2022,,,6500,Q4B,,,L1,,,,SE of TB11,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,flake from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6512_EGPOT_01,WT1,2022,,,6512,Q4B,,,L1,,,,N and E of TB12,Nile,"B2? Coarse, sand and straw inclusions",,,handmade,,,,"body sherd, handmade",,X,,Undetermined,Undetermined
TAG6512_EGPOT_02,WT1,2022,,,6512,Q4B,,,L1,,,,N and E of TB12,Nile B2,sandy and crumbly,,,wheel made,,,"Uncertain, worn sherd","body sherd, wheel made",,X,,Open vessel,3a2.1
TAG6512_EGPOT_03,WT1,2022,,,6512,Q4B,,,L1,,,,N and E of TB12,P,,traces of fine combing,,Wheel made,,,,"body sherd of a dipper juglet, wheel made",608,X,Joins body sherd Tag 6458 and TS16 in Kom Ombo,Closed vessel,Dipper juglet
TAG6519_EGPOT_01,WT1,2022,,41,6519,Q4A,,,L1,,,,,Nile B2,,red splip outside/ eroded inside,,wheel made,,Folded base of potstand,,"base of potstand with folded rim, wheel made",612,B,rim and base of #612 do not join but have been floated to creat a complete profile,Pot-stand,33a
TAG6531_EGPOT_01,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl A1,,,,,,,"Uncertain, worn sherd","body sherd, larger piece",,X,,Undetermined,Predynastic
TAG6531_EGPOT_02,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl A1,,,,,,,"Uncertain, worn sherd","body sherd, medium size",,X,,Undetermined,Predynastic
TAG6531_EGPOT_03,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl A1,,,,,,,"Uncertain, worn sherd","body sherd, both surfaces gone, only core left",,X,,Undetermined,Predynastic
TAG6531_EGPOT_04,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd, coil made, from closed form",pot 1,X,joins sherd entry nos. 43,Closed vessel,18b1
TAG6531_EGPOT_05,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd, coil made, from closed form",pot 1,X,joins sherd entry nos. 42,Closed vessel,18b1
TAG6531_EGPOT_06,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,,folded and modelled rim,,,"Rims sherd, completely eroded, from a medium size jar. It looks like the folded and modelled type. Diameter impossible to measure as the sherds is too small and eroded",pot 1,R,"same vessel as entries 50, 51, 52",Closed vessel,18b1
TAG6531_EGPOT_07,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,body sherd,pot 1,X,"same vessel as entries 49, 51, 52",Closed vessel,18b1
TAG6531_EGPOT_08,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,body sherd,pot 1,X,"same vessel as entries 50, 49, 52",Closed vessel,18b1
TAG6531_EGPOT_09,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,body sherd,pot 1,X,"same vessel as entries 50, 51, 49",Closed vessel,18b1
TAG6531_EGPOT_10,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",uncoated,,"handmade, interior smoothed irregularly with fingers",,,,"body, near base, sherd from a jar, fingers mark on interior, coil made",pot 1,X,,Closed vessel,18b1
TAG6531_EGPOT_11,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Nile,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6531_EGPOT_12,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Nile B2,,red splip outside/ eroded inside,,wheel made,,Modelled rim of potstand,,"rim of a potstand, the rim is folded",612,R,rim and base of #612 do not join but have been floated to creat a complete profile,Pot-stand,33a
TAG6531_EGPOT_13,WT1,2022,,,6531,Q4A,,,L1,W sector of Q4A: from the W limit Q2B/Q4A to PPA42/OPepsilon (PSF048),,,,Nile B2,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Open vessel,3a2.1
TAG6533_EGPOT_01,WT1,2022,,,6533,Q4B,,,L128,,,,"TB12, TB16",Marl A1,,uncoated,,handmade,,,,"body sherd, handmade, joining entry 264",,X,,Closed vessel,Predynastic
TAG6533_EGPOT_02,WT1,2022,,,6533,Q4B,,,L128,,,,"TB12, TB16",Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,"shoulder sherd from jar #611 (4 sherds joining), joins rim 6447",611,X,joins body rim sherd tag 6447,Closed vessel,18b2
TAG6533_EGPOT_03,WT1,2022,,,6533,Q4B,,,L128,,,,"TB12, TB16",Nile B2,,red slip outside,Burnished outside ?,wheel made,,,,"body sherd, wheel made, ",,X,,Closed vessel,Undetermined
